         4167088 function calls (4151322 primitive calls) in 33.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        4    0.000    0.000    0.000    0.000 argparse.py:1309(_add_action)
       12    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
        1    0.000    0.000    0.000    0.000 {posix.unlink}
       12    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.007    0.007 ImageShow.py:90(show_image)
        1    0.000    0.000    0.000    0.000 defchararray.py:1668(chararray)
        9    0.000    0.000    0.001    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:1731(_parse_known_args)
        2    0.000    0.000    0.000    0.000 utils.py:108(__call__)
       12    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        2    0.000    0.000    0.000    0.000 argparse.py:1475(__init__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       12    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 numeric.py:1358(cross)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.002    0.002 ImageShow.py:140(show_file)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        9    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
        1    0.000    0.000    0.001    0.001 argparse.py:1696(parse_known_args)
       19    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       16    0.000    0.000    0.000    0.000 ImageMode.py:24(__init__)
        3    0.000    0.000    0.002    0.001 gettext.py:542(dgettext)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1025(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 Image.py:1765(new)
        4    0.000    0.000    0.001    0.000 argparse.py:2315(_get_formatter)
        2    0.000    0.000    0.000    0.000 tempfile.py:124(rng)
        1    0.000    0.000    0.000    0.000 {_io.open}
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
        9    0.000    0.000    0.000    0.000 argparse.py:1227(_registry_get)
        1    0.000    0.000    0.000    0.000 {open}
        9    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.007    0.007 main.py:29(getArguments)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       12    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
       12    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       15    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 light.py:1(<module>)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.001    0.001 argparse.py:2028(_match_arguments_partial)
        4    0.000    0.000    0.000    0.000 argparse.py:1497(_add_action)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        9    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        5    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        6    0.000    0.000    0.000    0.000 opcode.py:39(jabs_op)
       14    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.002    0.001 gettext.py:476(translation)
        4    0.000    0.000    0.000    0.000 argparse.py:1424(_pop_action_class)
        1    0.000    0.000    0.000    0.000 ray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {math.tan}
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:230(_mkstemp_inner)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:447(Image)
        7    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Image.py:594(frombytes)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        2    0.000    0.000    0.000    0.000 argparse.py:1299(add_argument_group)
        1    0.000    0.000    0.001    0.001 tempfile.py:262(gettempdir)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.014    0.014 Image.py:2182(_show)
        3    0.000    0.000    0.000    0.000 argparse.py:1428(_get_handler)
        3    0.000    0.000    0.000    0.000 argparse.py:807(__init__)
        3    0.000    0.000    0.000    0.000 posixpath.py:365(abspath)
        1    0.000    0.000    0.000    0.000 argparse.py:2189(_get_values)
        2    0.000    0.000    0.000    0.000 numeric.py:2320(seterr)
        4    0.000    0.000    0.000    0.000 argparse.py:765(__init__)
        3    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        3    0.000    0.000    0.002    0.001 gettext.py:580(gettext)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.007    0.007 ImageShow.py:59(show)
       12    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:148(_candidate_tempdir_list)
       12    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
